brand,stars,reviewsCount,Category,price/value,brands,main_category
JBL,4.4,52203.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,2799.0,jbl,Speakers
Generic,3.1,99.0,Video Games › HandHeld Gaming,480.0,generic,
QINIZX,4.7,75.0,Home & Kitchen › Large Appliances › Refrigerators,2166.0,qinizx,Refrigerators
ASUS,4.1,61.0,Computers & Accessories › Laptops › Traditional Laptops,86990.0,asus,Traditional Laptops
SYVO,3.8,1963.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,449.0,syvo,Speakers
Dell,3.3,11.0,Computers & Accessories › Laptops › Traditional Laptops,81290.0,dell,Traditional Laptops
2&CO,5.0,1.0,Video Games › Nintendo Switch › Consoles,59990.0,2&co,Consoles
New World,2.0,1.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Gamepads,5499.0,new world,PC Gaming Peripherals
Muzen,4.3,1240.0,Electronics › Home Audio › Speakers › Outdoor Speakers,5499.0,muzen,Speakers
Portronics,3.6,286.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,649.0,portronics,Speakers
Sony,4.5,157.0,Electronics › Home Audio › Speakers,46438.0,sony,Speakers
PTron,3.7,321.0,Electronics › Home Audio › Speakers › Soundbar Speakers,1098.0,ptron,Speakers
Sony,4.6,49875.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",19990.0,sony,Headphones
Marshall,4.1,1693.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",19999.0,marshall,Headphones
Denon,4.2,43.0,Electronics › Home Audio › Speakers › Multimedia Speaker Systems,76560.0,denon,Speakers
BoAt,4.0,4414.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,999.0,boat,Speakers
JBL,4.3,33.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",12999.0,jbl,Headphones
JBL,4.1,205087.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",599.0,jbl,Headphones
Generic,2.7,7.0,Video Games › Video Games NCEMI,1079.0,generic,
HP,2.7,36.0,Computers & Accessories › Laptops › Traditional Laptops,16199.0,hp,Traditional Laptops
pTron,3.8,394.0,Electronics › Home Audio › Speakers › Soundbar Speakers,1098.0,ptron,Speakers
POGA,3.0,1.0,Video Games › Online Game Services,66999.0,poga,
ASUS,3.9,16.0,Computers & Accessories › Laptops › Traditional Laptops,47990.0,asus,Traditional Laptops
Crucial,4.7,1824.0,Computers & Accessories › Components › Memory,13596.0,crucial,Memory
Blaupunkt,3.8,11009.0,Electronics › Home Audio › Speakers › Soundbar Speakers,1299.0,blaupunkt,Speakers
Avolusion,4.4,385.0,Video Games › PlayStation 4 › Consoles,26204.0,avolusion,Consoles
Skullcandy,4.0,5856.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",7499.0,skullcandy,Headphones
Sony,4.2,7163.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › On-Ear",3990.0,sony,Headphones
Cintwor,4.0,82.0,Toys & Games › Electronic Toys › Handheld Games,26119.0,cintwor,Handheld Games
Artis,2.0,1.0,Electronics › Home Audio › Speakers › Outdoor Speakers,10999.0,artis,Speakers
Harman Kardon,4.6,142.0,Electronics › Home Audio › Speakers › Outdoor Speakers,16299.0,harman kardon,Speakers
HAMMER,4.2,23.0,Electronics › Wearable Technology › Smart Watches,3009.0,hammer,Smart Watches
WEARFIT,2.2,3.0,Electronics › Wearable Technology › Smart Watches,5999.0,wearfit,Smart Watches
ZEBRONICS,3.9,1652.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1399.0,zebronics,Speakers
Lava,3.6,1489.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,8999.0,lava,Smartphones & Basic Mobiles
Tribit,4.4,10034.0,Electronics › Home Audio › Speakers › Outdoor Speakers,2399.0,tribit,Speakers
amazon basics,4.0,12.0,Electronics › Home Audio › Speakers › Soundbar Speakers,699.0,amazon basics,Speakers
Bang & Olufsen,4.4,3029.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,20998.0,bang & olufsen,Speakers
Sadhwanis,3.7,38.0,Toys & Games › Electronic Toys › Plug & Play Video Games,2699.0,sadhwanis,Plug & Play Video Games
Redgear,4.2,19635.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Gamepads,1699.0,redgear,PC Gaming Peripherals
Sameo,4.6,3.0,Video Games › No Cost EMI | Automated,4899.0,sameo,
Blaupunkt,3.8,11009.0,Electronics › Home Audio › Speakers › Soundbar Speakers,1799.0,blaupunkt,Speakers
Crown,3.9,3.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",8300.0,crown,Televisions
OneAssist Live Uninterrupted,4.0,6183.0,Electronics › Warranties,129.0,oneassist live uninterrupted,
GSH,3.8,265.0,"Video Games › Starting ₹3,000 | Escape into the world of gaming",5899.0,gsh,
Sony,4.6,23299.0,Electronics › Electronics › Headphones › Over-Ear Headphones,7490.0,sony,Headphones
